Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ZEFL009,ZEFL009,ZEFL009,11.17,ZE9_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,165.4,19.8,16.5,NA,21,NA,0.999,M,0.23,N
ZEFL010,ZEFL010,ZEFL010,11.17,ZE10_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,70.5,14,11.5,NA,10.95,NA,0.999,F,0.39,N
ZEFL011,ZEFL011,ZEFL011,11.17,ZE11_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,126.7,17.8,14.7,NA,13.7,NA,0.999,M,NA,N
ZEFL012,ZEFL012,ZEFL012,11.17,ZE12_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,176.4,19.3,16.2,NA,26.67,NA,0.999,M,0.3,N
ZEFL013,ZEFL013,ZEFL013,11.17,ZE13_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,96.8,15.9,13.2,NA,17.5,NA,0.999,F,0.29,N
ZEFL014,ZEFL014,ZEFL014,11.17,ZE14_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,112.4,16.5,13.8,NA,16.67,0.23,0.999,M,0.32,N
ZEFL015,ZEFL015,ZEFL015,11.17,ZE15_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,185.4,20,17,NA,31.17,NA,0.999,M,0.59,N
ZEFL016,ZEFL016,ZEFL016,11.17,ZE16_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,125.3,17.5,14.5,NA,18.8,NA,0.999,F,0.37,N
ZEFL017.dup1.15ul,ZEFL017,ZEFL017,11.17,ZE17_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,138.5,17.8,14.7,NA,23.42,NA,0.999,F,0.43,N
ZEFL017.dup2.5ul,ZEFL017,ZEFL017,11.17,ZE17_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,138.5,17.8,14.7,NA,23.42,NA,0.999,F,0.43,N
