TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACNF040,ACNF040,ACNF040,11.17,NF40_11.17,ACNF,ChinaWalls_OAH,11/8/16,62.26,15.1,11.3,13,4.7,0.31,0.15,M,0.21,N,frozen,43,0.818030006
ACNF041,ACNF041,ACNF041,9.3.19,ACNF041_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,49.92,15,11,12.9,4.44,0.13,NA,NA,0.13,N,frozen,51,0.833948525
ACNF042,ACNF042,ACNF042,9.3.19,ACNF042_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,57.94,15.5,11,13.8,3.96,0.65,0.07,?,0.22,N,frozen,46,0.909464064
ACNF043,ACNF043,ACNF043,8.23.19,ACNF043_8.19,ACNF,ChinaWalls_OAH,11/8/16,49.07,14.2,10.3,12.2,4.4,0.43,NA,NA,0.21,N,frozen,33,0.744494064
ACNF044,ACNF044,ACNF044,8.23.19,ACNF044_8.19,ACNF,ChinaWalls_OAH,11/8/16,72.81,16.4,12.5,14.6,6.72,0.66,NA,NA,0.24,N,frozen,47,0.869862711
ACNF045,ACNF045,ACNF045,9.3.19,ACNF045_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,47.66,14.5,10.2,12.3,4.94,0.5,NA,NA,0.16,N,frozen,42,0.805840448
ACNF046,ACNF046,ACNF046,8.23.19,ACNF046_8.19,ACNF,ChinaWalls_OAH,11/8/16,47.26,14.4,10.2,12,5.45,0.25,NA,NA,0.2,N,"frozen, liquid liver",50,0.800182629
ACNF048,ACNF048,ACNF048,9.3.19,ACNF048_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,50.92,15.1,10.9,12.8,3.37,0.43,0.06,NA,0.21,~,frozen,47,0.89617511
ACNF050,ACNF050,ACNF050,9.3.19,ACNF050_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,56.64,15.4,11.1,13,5.06,0.29,0.04,M?,0.13,N,frozen,42,0.86243002
ACNF051B,ACNF051B,ACNF051,8.23.19,ACNF052_8.19_dupACNF051,ACNF,ChinaWalls_OAH,11/8/16,81.47,16.5,12.1,14,8.23,1.17,0.1,M,0.42,N,frozen,46,0.831452046
ACNF053,ACNF053,ACNF053,8.23.19,ACNF053_8.19,ACNF,ChinaWalls_OAH,11/8/16,54.85,15.1,10.7,12.8,4.4,0.49,NA,NA,0.19,N,"frozen, liquid liver",50,0.842006347
ACNF054,ACNF054,ACNF054,9.3.19,ACNF054_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,41.88,15,11.3,12.9,4.39,0.29,NA,NA,0.25,N,frozen,35,0.886216743
ACNF055,ACNF055.dup1,ACNF055,8.23.19,ACNF055_8.19,ACNF,ChinaWalls_OAH,11/8/16,53.81,14.6,10.4,12.3,6.07,0.38,NA,NA,0.23,N,frozen,32,0.866405527
ACNF056,ACNF056,ACNF056,8.23.19,ACNF056_8.19,ACNF,ChinaWalls_OAH,11/8/16,54.38,14.9,10.6,12.8,4.94,0.35,0.01,NA,0.14,N,frozen,49,0.868379349
ACNF057,ACNF057,ACNF057,9.3.19,ACNF057_9.6.19,ACNF,ChinaWalls_OAH,11/8/16,42.55,13.5,10,11.7,3.84,0.23,NA,NA,0.17,N,"frozen, liquid liver",37,0.847170329
ACNF059,ACNF059,ACNF059,9.3.19,ACNF059_9.6.19,ACNF,HaleiwaFishBowl_OAH,8/12/16,53.37,15,11,13.9,5.37,0.46,1.25,M,0.16,N,frozen,44,0.87785354
ACNF060,ACNF060,ACNF060,8.23.19,ACNF060_8.19,ACNF,HaleiwaFishBowl_OAH,8/12/16,48.56,13.8,10.1,12,4.79,0.55,1.89,F,0.34,N,frozen,49,0.893306107
