taxon,ACGU001B,ACGU002A,ACLE001B,ACLE002C,ACLE003A,ACLE007A,ACLE010A,ACLE011,ACLE012,ACLE013,ACLE014,ACLE015,ACLE016,ACLE017,ACLE018A,ACNF018C,ACNF023,ACNF024,ACNF025,ACNF026,ACNF027B,ACNF029A,ACNF032,ACNF033,ACNF034,ACNF035A,ACNF037,ACNF038B,ACNF040,ACNF041,ACNF042,ACNF043,ACNF044,ACNF045,ACNF046,ACNF048,ACNF050,ACNF051B,ACNF053,ACNF054,ACNF055,ACNF056,ACNF057,ACNF059,ACNF060,ACNF061,ACNF062,ACNF063,ACNF065,ACNF066,ACNF067,ACNF068,ACNF069,ACNF071,ACNF073,ACNF074,ACNF075,ACNF076,ACNF077,ACNF078,ACNF079,ACNF080,ACNF081,ACNF083,ACNF084,ACNF085,ACNF086,ACNF087,ACNF088,ACNF089,ACNF090,ACNF091,ACNF092,ACNF093,ACNF094,ACNF095,ACNF096,ACNF097,ACNF099,ACNF116,ACNF117,ACNF118,ACNF119,ACNF120,ACNF121,ACNF122,ACNF123,ACNF124,ACNI001,ACNI002,ACNI004,ACNI005B,ACNI006,ACOL001,ACTR010,ACTR011,ACTR014,ACTR015,ACTR025A,ACTR029B,ACTR032B,ACTR034A,ACTR037C,ACTR039C,ACTR040C,ACTR043B,ACTR045B,ACTR048A,ACTR050A,ACTR053B,ACTR056A,ACTR059A,ACTR062,ACTR063,ACTR064,ACTR065,ACTR066,ACTR067,ACTR068,ACTR069,ACTR070,ACTR071,ACTR072,ACTR073,ACTR074,ACTR076,ACTR077,ACTR078,ACTR079,ACTR080,ACTR081,ACTR082,ACTR083B,ACTR084,ACTR085,ACTR086,ACTR087B,ACTR091,ACTR092,ACTR094,ACTR095,ACTR096,ACTR097,ACTR098,ACTR099,ACTR101,ACTR102,ACTR105A,ACTR107,ACTR110,ACTR116,ACTR117,ACTR118,ACTR119,ACTR120,ACTR121,ACTR122,ACTR123,ACTR124,ACTR125,ACTR127,ACTR128,ACTR129,ACTR130,ACTR131,ACTR132,ACTR133A,ACTR135,ACTR136,ACTR137,ACTR138,ACTR139,ACTR140,ACTR141,ACTR142,ACTR143,ACTR144,ACTR145,ACTR146,ACTR595,ACTR606,ACTR610,ACTR611,ACTR612,CTST010,CTST012,CTST014,CTST016,NALI001B,NALI002B,NALI003B,NALI004C,NALI005B,NALI006C,NAUN001D,ZEFL003,ZEFL005,ZEFL006,ZEFL007,ZEFL008,ZEFL009,ZEFL010,ZEFL012,ZEFL013,ZEFL014,ZEFL016,ZEFL017,ZEFL019,ZEFL020,ZEFL021,ZEFL022B,ZEFL026,ZEFL027,ZEFL028A,ZEFL029B
Dasya sp.,1376,31,0,0,1205,0,0,0,0,0,0,0,0,1493,1560,0,0,135,790,274,98,1281,17,72,609,1,12,47,0,277,6,0,0,0,0,138,2,0,0,0,0,3,8,50,0,18,0,3,375,0,5,0,0,0,1,21,143,39,0,0,54,7,177,284,81,34,0,0,0,0,0,0,0,0,70,0,18,0,0,0,0,0,0,521,325,0,69,20,0,0,0,0,0,0,0,92,108,382,2,26,9,11,32,33,0,29,0,0,0,0,86,0,14,2,0,3,87,13,65,918,0,91,318,10,0,25,2,0,35,73,0,13,26,14,1,0,100,0,0,0,0,0,0,0,0,4,0,44,178,96,0,0,62,115,17,28,3,0,10,32,0,2166,1,266,0,19,0,11,53,0,0,61,0,0,0,0,0,0,0,0,22,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,109,62,0,237,0,0,0,65,42,2,53,0,0,0,4,17,0,94,0
Stenopeltis gracilis,0,0,11,0,4,0,1,6,15,16,14,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,0,11,0,1,0,0,2,0,0,5,0,7,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,9,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,49,10,11,2,0,5,3,0,0,9,35,25,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,2,0,5,0,0,2,2,0,0,0,0,0,2,0,0,0,0,6,1,8,0,2,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8,2,0,0,11,0
Bigelowiella natans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herposiphonia sp.,3037,247,50,0,2,0,4,12,1,0,16,0,0,0,629,101,15,46,0,3,54,9,20,1243,163,20,38,122,130,127,550,64,98,74,383,172,382,191,411,263,306,334,398,271,183,382,38,73,0,0,0,23,4,69,59,25,120,19,0,142,127,645,0,937,29,44,246,61,77,129,6,30,128,0,33,308,0,0,7,16,3,0,0,0,0,0,0,0,19,0,1415,43,520,71,755,103,360,290,43,164,314,28,55,106,182,322,194,221,43,197,129,188,218,3,133,8,338,38,815,90,724,134,212,5,154,118,93,0,560,236,50,19,22,81,119,58,57,68,0,0,12,59,51,78,3,74,123,29,406,190,104,26,218,74,14,246,15,0,90,121,156,25,51,68,4,141,43,92,199,109,131,194,42,144,26,68,178,1,239,486,731,44,1156,1175,193,0,39,239,0,29,0,0,0,0,0,39,263,808,263,67,138,323,146,647,28,90,1765,1103,2,303,93,25,9,0,60
Turbinaria ornata,0,0,0,0,0,0,0,0,0,0,0,0,0,136,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanothece sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillatoriales,362,2899,62,5370,11,479,53,15,16,7,7,85,78,79,133,44,30,54,103,29,318,699,79,37,21,1,5,24,121,129,223,170,136,95,83,371,242,105,436,978,1332,97,85,19,55,42,6,86,13,13,219,863,286,3,46,7,10,266,540,67,69,61,73,72,9,68,10,76,66,217,749,16,154,212,138,43,308,83,37,118,177,163,460,3,84,35,51,35,2,8,0,22,13,0,8,17,0,3,159,251,96,137,94,381,992,98,186,44,113,90,216,936,0,0,0,1,399,37,77,1010,94,294,252,364,70,66,58,3645,420,82,1,28,0,72,22,9,78,123,20,76,3,33,27,117,35,121,62,0,208,33,89,10,189,160,62,91,23,20,111,36,27,44,76,75,14,54,4,63,74,14,6,6,4,20,0,101,50,79,86,60,37,251,510,941,0,0,3,11,46,0,0,0,0,143,45,76,1111,547,1614,355,83,122,263,299,398,572,2080,1421,394,730,1448,215,312,31,27
Gelidium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
Herposiphonia sp. ,0,0,8,0,146,0,0,212,8,0,0,21,7,50,4,0,9,0,0,0,7,198,133,29,101,198,509,1171,0,5,139,0,48,0,12,60,17,56,27,0,0,231,175,478,76,1,37,4,12,25,0,0,0,360,41,122,0,0,0,18,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,10,0,30,9,20,9,26,0,1,33,37,0,0,0,0,0,0,411,9,5,7,1,145,13,3,5,12,69,45,91,8,8,1,109,0,43,35,222,22,857,22,6,42,32,6,0,6,0,3,0,8,0,160,7,89,135,147,38,0,10,28,71,194,149,448,32,80,158,38,21,0,0,940,168,279,667,143,229,256,221,727,280,0,324,70,239,85,66,28,8,3,0,5,1,37,0,1,0,0,0,0,0,47,0,58,63,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,7,0,0,1,3,4,0,8,26,13,0,0,120,1,88,0
Diplothamnion jolyi,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,103,0,0
Colaconema sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelidiella sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulva sp.,0,0,5,0,0,0,0,8,0,0,2,0,0,0,0,10,0,12,6,5,11,0,15,8,4,77,21,17,46,20,5,11,15,1,6,0,38,6,44,3,0,8,0,0,22,30,36,0,0,20,0,0,0,565,114,148,4,5,0,21,15,27,9,22,9,67,2,4,35,18,5,10,131,0,13,3,19,22,0,4,3,12,0,0,0,0,0,4,4,0,0,0,0,0,6,3,3,77,10,11,6,1,8,28,9,0,16,16,3,0,0,0,54,5,16,17,18,4,0,10,2,1,0,0,32,10,0,0,3,0,13,7,47,3,0,1,20,51,24,11,13,44,7,0,11,5,0,48,0,0,52,65,19,13,27,32,1,2,3,22,74,10,16,14,21,13,19,114,43,86,31,62,256,17,240,36,23,18,93,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,86,70,0,33,338,97,36,90,1,37,34,3,0,17,55,0,24,17,0,26
Rhodomelaceae,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulva sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
