taxon,rank,kingdom,phylum,class,order,family,genus,species,1.29.17.NEG_9.6.19,1.4.2018.NEG_9.6.19,1.5.18.NEG_9.6.19,1.5.18.NEG-1_8.19,1.5.18.NEG.2_8.19,1.5.18.NEG.dup1_9.6.19,11.30.17.NEG_8.19,5.2.18.NEG_9.6.19,5.7.18.NEG_9.6.19,5.16.17.NEG_9.6.19,EXTRACT.NEG_S200_9.6.19,INDEX.NEG.1_S216_8.19,INDEX.NEG.2_S220_8.19,NEG_11.17,1.7.18.NEG_8.19,1-4-2018-NEG_9.6.19,1-29-19-NEG_8.19,1-4-17-NEG_9.6.19,1-5-18-NEG-dup2_9.6.19,1-7-18-NEG-2_8.19,12-5-17-NEG_8.19,ACTR591_8.19,ACTR589_9.6.19,ACLE017_8.19,ACGU001A_9.6.19,ACGU002A_9.6.19,ACGU002A_9.6.19,ACTR080_8.19,ACNI003_9.6.19,ACTR590_9.6.19,ACTR076_9.6.19,ACTR078_9.6.19,ACLE012_9.6.19,ACLE013_9.6.19,ACTR077_9.6.19,ZEFL028B_9.6.19,ZEFL029B_9.6.19,ACNF017_9.6.19,ACNF018_9.6.19_dupACNF019_20,ACNF019_9.6.19_dupACNF018_20,ACNF020_9.6.19_dupACNF018_19,ACNF021_9.6.19,ACNF023_9.6.19,ACNF024_9.6.19,ACNF025_9.6.19,ACNF026_8.19,ACNF027_9.6.19_dupACNF028,ACNF028_8.19_dupACNF027,ACNF029_9.6.19_dupACNF030_31,ACNF030_9.6.19_dupACNF029_31,ACNF031_9.6.19_dupACNF029_30,ACNF032_9.6.19,ACNF033_9.6.19,ACNF034_8.19,ACNF035_9.6.19_dupACNF036,ACNF036_9.6.19_dupACNF035,ACNF037_9.6.19,ACNF038_9.6.19_dupACNF039,ACNF039_9.6.19_dupACNF038,ACNF041_9.6.19,ACNF042_9.6.19,ACNF043_8.19,ACNF044_8.19,ACNF045_9.6.19,ACNF046_8.19,ACNF047_9.6.19,ACNF048_9.6.19,ACNF049_9.6.19,ACNF050_9.6.19,ACNF051_9.6.19_dupACNF052,ACNF052_8.19_dupACNF051,ACNF053_8.19,ACNF054_9.6.19,ACNF055_8.19,ACNF055_9.6.19,ACNF055-dup_8.19,ACNF055-dup_9.6.19,ACNF056_8.19,ACNF057_9.6.19,ACNF058_9.6.19,ACNF059_9.6.19,ACNF060_8.19,ACNF061-1_9.6.19,ACNF061-2_9.6.19,ACNF062_9.6.19,ACNF063_8.19,ACNF065_9.6.19,ACNF066_8.19,ACNF067_9.6.19,ACNF068_9.6.19,ACNF081_9.6.19,ACNF081-dup_8.19,ACNF081-dup_9.6.19,ACNF082_9.6.19,ACNF083-1_9.6.19,ACNF083-2_9.6.19,ACNF084-1_9.6.19,ACNF084-2_9.6.19,ACNF085-1_9.6.19,ACNF085-2_9.6.19,ACNF086-1_9.6.19,ACNF086-2_9.6.19,ACNF087-1_9.6.19,ACNF087-2_9.6.19,ACNF088_9.6.19,ACNF088-dup_8.19,ACNF088-dup_9.6.19,ACNF089_9.6.19,ACNF090-1_9.6.19,ACNF090-2_9.6.19,ACNF099-1_9.6.19,ACNF099-2_9.6.19,ACNF116_9.6.19,ACNF117_9.6.19,ACNF118_9.6.19,ACNF119_9.6.19,ACLE014_9.6.19,ACLE011_9.6.19,ZEFL004_9.6.19,ZEFL028A_9.6.19,ACNF125_9.6.19,ACNI001-1_9.6.19,ACNI001-2_9.6.19,NALI004B_9.6.19,NALI004C_9.6.19,ACNI004_S120_9.6.19,ACNI005A_S84_9.6.19,ACNI005B_S64_9.6.19,ACNI006_S201_8.19,ACOL001_S203_8.19,ACTR010_S43_9.6.19,ACTR011_S75_9.6.19,ACTR014_S78_9.6.19,ACTR015_S68_9.6.19,ACTR025A_S180_8.19,ACTR029_S184_9.6.19_dupACTR030_31,ACTR030_S146_9.6.19_dupACTR029_31,ACTR030.dup_S147_9.6.19_dupACTR029_31,ACTR030.dup_S212_8.19_dupACTR029_31,ACTR031-1_S66_9.6.19_dupACTR029_30,ACTR031-2_S137_9.6.19_dupACTR029_30,ACTR031-dup_S67_9.6.19_dupACTR029_30,ACTR032.dup_S165_9.6.19_dupACTR033,ACTR033_S141_9.6.19_dupACTR032,ACTR033.dup_S142_9.6.19_dupACTR032,ACTR034_S59_9.6.19_dupACTR035_36,ACTR034.dup_S60_9.6.19_dupACTR035_36,ACTR035_S190_8.19_dupACTR034_36,ACTR035.dup_S191_8.19_dupACTR034_36,ACTR036-dup_S157_9.6.19_dupACTR034_35,ACTR037_S103_9.6.19_dupACTR038_39,ACTR038_S85_9.6.19_dupACTR037_39,ACTR039_S158_9.6.19_dupACTR037_38,ACTR040_S213_8.19_dupACTR041_42,ACTR041_S91_9.6.19_dupACTR040_42,ACTR043_S126_9.6.19_dupACTR44,ACTR044_S107_9.6.19_dupACTR43,ACTR045_S71_9.6.19_dupACTR046_47,ACTR046_S40_9.6.19_dupACTR045_47,ACTR047_S42_9.6.19_dupACTR045_46,ACTR048_S90_9.6.19_dupACTR049,ACTR049_S69_9.6.19_dupACTR048,ACTR050_S50_9.6.19_dupACTR051_52,ACTR051_S62_9.6.19_dupACTR050_52,ACTR052_S131_9.6.19_dupACTR050_51,ACTR053_S192_8.19_dupACTR054_55,ACTR054_S161_9.6.19_dupACTR053_55,ACTR055_S209_8.19_dupACTR053_54,ACTR056_S183_8.19_dupACTR057_58,ACTR057_S113_9.6.19_dupACTR056_58,ACTR058_S187_8.19_dupACTR056_57,ACTR059_S184_8.19_dupACTR060_61,ACTR060_S134_9.6.19_dupACTR059_61,ACTR061_S41_9.6.19_dupACTR059_60,ACTR062_S48_9.6.19,ACTR063_S49_9.6.19,ACTR064_S195_8.19,ACTR065_S207_8.19,ACTR066_S101_9.6.19,ACTR067_S23_9.6.19,ACTR068_S61_9.6.19,ACTR069_S102_9.6.19,ACTR070_S35_9.6.19,ACTR071_S121_9.6.19,ACTR072_S37_9.6.19,ACTR081_9.6.19,ACTR081-dup_S136_9.6.19,ACTR081-dup_S179_8.19,ACTR074_S182_8.19,ACTR082_9.6.19,ACTR082-2_S106_9.6.19,ACTR083_8.19,ACTR083-2_S208_8.19,ACTR083A_S185_9.6.19,ACTR083B_S163_9.6.19,ACTR084_S10_9.6.19,ACTR084_8.19,ACTR084-dup_S11_9.6.19,ACTR084-dup_S172_8.19,ACTR076_S92_9.6.19,ACTR085_9.6.19,ACTR086_9.6.19,ACTR087_9.6.19,ACLE002C_9.6.19,ACTR096_9.6.19,ACTR097_9.6.19,ACTR099_9.6.19,ACTR103_8.19,NALI005A_9.6.19,ACTR085-2_S139_9.6.19,NALI005B_9.6.19,ACTR086-dup_S174_8.19,ACTR086-dup_S77_9.6.19,ACNI002_9.6.19,ACTR087-2_S63_9.6.19,ACTR087B_S166_8.19,ACTR087B_S172_9.6.19,ACTR090_S189_9.6.19,ACTR595_9.6.19,ACTR596_9.6.19,ACTR597_9.6.19,ACTR098_S5_9.6.19,ACTR101_S31_9.6.19,ACTR102_S17_9.6.19,ACTR105A_S168_9.6.19,ACTR106_S170_9.6.19,ACTR107_S165_8.19,ACTR110_S162_9.6.19,CTST019_9.6.19,NALI006A_9.6.19,NALI006B_9.6.19,NALI006C_9.6.19,ACLE010A_9.6.19,ACTR139_S57_9.6.19,ACTR140_S130_9.6.19,ACTR141_S170_8.19,ACTR142_S204_8.19,ACTR143_S185_8.19,ACTR144_S202_8.19,ACTR145_S199_8.19,ACTR146_S182_9.6.19,ACLE003C_9.6.19,ACTR135_9.6.19,ACTR136_9.6.19,ACTR137_9.6.19,ACTR138_9.6.19,ACNF120_9.6.19,ACNF121_9.6.19,ACNF122_9.6.19,ACNF123_9.6.19,ACNF123_9.6.19,ACTR600_S236_8.19,ACTR601_S233_8.19,ACTR602_S202_9.6.19,ACTR605_S235_8.19,ACTR606_S21_9.6.19,ACTR607_S224_8.19,ACTR608_S231_8.19,ACTR610_S203_9.6.19,ACTR611_S52_9.6.19,ACTR612_S55_9.6.19,ACTR132_9.6.19,CTST020_S243_8.19,GU1B_11.17,GU2B_11.17,GU2C_11.17,LE10B_11.17,LE10C_15ul_11.17,LE1A_11.17,LE1B_15ul_11.17,LE3A_11.17,LE7A_11.17,LE7B_11.17,LE7C_11.17,NALI002A_S132_9.6.19,NALI002B_S45_9.6.19,ACTR091_9.6.19,ACTR092_9.6.19,ACTR094_9.6.19,ACTR095_9.6.19,NALI003B_9.6.19,NALI004A_9.6.19,ACTR073_9.6.19,ACTR074_9.6.19,ACTR074_9.6.19,ACTR075_9.6.19,ACTR075_9.6.19,NALI1A_11.17,NALI1B_11.17,NAUN1B_15ul_11.17,NAUN1C_11.17,NAUN1D_11.17,NAUN1E_11.17,NF40_11.17,NF69_11.17,NF70_11.17,NF71_11.17,NF72_11.17,NF73_11.17,NF74_11.17,NF75_11.17,NF76_11.17,NF77_11.17,NF78_11.17,NF79_11.17,NF80_11.17,NF91_15ul_11.17,NF92_15ul_11.17,NF93_11.17,NF94_15ul_11.17,NF95_15ul_11.17,NF96_15ul_11.17,NF97_15ul_11.17,ST10_11.17,ST12_11.17,ST13_11.17,ST14_11.17,ST15_11.17,ST16_11.17,ST17_11.17,TR116_11.17,TR117_11.17,TR118_11.17,TR119_11.17,TR120_11.17,TR121_11.17,TR122_11.17,TR123_11.17,TR124_11.17,TR125_11.17,TR127_11.17,TR128_11.17,TR129_11.17,TR130_11.17,TR131_11.17,TR133A_11.17,TR42_15ul_11.17_dupACTR040_41,TR84_25cyc_11.17,TR84_35cyc_11.17,TR85_15ul_11.17,TR85_25cyc_11.17,TR85_35cyc_11.17,TR86_15ul_11.17,TR86_25cyc_11.17,TR86_35cyc_11.17,ZE10_11.17,ZE11_11.17,ZE12_11.17,ZE13_11.17,ZE14_11.17,ZE15_11.17,ZE16_11.17,ZE17_15ul_11.17,ZE17_5ul_11.17,ZE18_11.17,ZE19_15ul_11.17,ZE19_5ul_11.17,ZE20_11.17,ZE21_15ul_11.17,ZE21_5ul_11.17,ZE22_15ul_11.17_dupZEFL023,ZE23_11.17_dupZEFL022,ZE26_11.17,ZE27_11.17,ZE3_11.17,ZE5_11.17,ZE6_11.17,ZE7_11.17,ZE8_11.17,ZE9_11.17,ACTR079_9.6.19,ACNF124_9.6.19,ACLE015_9.6.19,ACLE016_8.19,ACLE016_9.6.19
Crouania sp. ,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Crouania,Crouania sp. ARS-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,79,0,48,0,61,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,461,0,0,17,0,14,909,1212,0,1087,1323,566,229,305,47,867,100,166,956,21,0,0,0,0,1283,451,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,41,111,50,145,0,0,23,35,0,0,0,0,88,53,0,0,238,536,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,0,0,9,61,0,7,0,22,55,8,0,0,128,0,0,14,104,0,0,0,12,0,0,0,6,0,0,0,0,3,0,0,0,0,0,148,153,49,0,0,0,0,92,0,0,499,0,0,56,147,47,167,0,0,0,0,0,0,0,0,22,0,606,0,0,0,0,0,0,33,0,301,152,320,0,0,0,0,5,0,0,438,30,0,29,0,0,0,2500,502,933,44,275,0,1,0,0,0,0,0,0,4,48,0,0,38,0,0,0,3,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,3,0,0,0,0,0,0,0,0,0,136,287,147,194,0,0,103,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,12,0,0,45,70,961,130,36,0,0,15,9,4,46,67,0,0,0,0,0,0,230,28,41,376,157,262,11,9,1057,6,6,642,466,345,11,0,0,0,0,0,0,0,0,1,0,5,11,22,374,2,0,813,127,0,0,0,0,2339,0,0,0,6,0,0,34,1895,38,12,106,61,651,0,0,3,0
Euptilocladia magruderi,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Euptilocladia,Euptilocladia magruderi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,214,51,310,403,43,739,2463,0,0,6,10,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,1264,0,2637,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gayliella sp. ,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Gayliella,Gayliella sp. ARS-2011,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,51,0,0,784,0,6,12,224,59,0,144,0,0,3,124,154,16,0,0,177,51,1192,295,365,854,211,1182,247,1736,271,476,671,342,747,24,786,678,121,16,0,0,0,14,133,368,0,0,0,0,0,3,10,361,808,686,575,427,662,430,273,676,0,82,0,0,0,0,20,14,296,802,49,184,0,0,0,0,0,0,0,0,11,0,252,285,0,113,1212,261,0,21,0,280,848,1031,724,0,38,10,5,19,25,0,27,293,16,50,190,41,74,0,447,0,678,703,0,0,23,175,0,0,468,456,97,113,121,130,69,53,237,66,458,40,737,240,247,74,168,0,0,0,88,377,526,0,121,0,543,3365,672,5425,297,3466,8,15,32,131,336,174,0,218,0,3451,1912,7485,7858,431,1745,6429,3707,9,0,0,887,2749,2624,2,3506,876,3339,0,0,859,0,4395,0,0,3655,125,26,34,45,0,0,10986,10592,9407,83,152,21,27,0,0,0,0,0,328,279,271,81,202,1292,167,194,0,92,906,381,113,0,0,87,0,0,0,1,60,0,641,0,0,2123,0,3,847,0,7,7,12,116,751,0,385,129,3,83,0,0,0,1691,8418,3143,2761,0,0,0,0,2041,0,0,3,0,3,12,12,29,2258,0,0,5492,0,84,1665,503,0,2,0,493,399,169,8,0,5,7,0,40,0,0,0,0,8,6,0,2840,21927,4082,5585,6298,3202,18692,21727,5236,6175,3787,898,2988,2088,16972,7,46,2775,5996,1066,536,2071,3595,4261,8751,5,0,748,140,238,7,20,0,0,6,985,0,0,421,0,5,32,0,0,844,76,53,138,7,635,1362,0,744,152,0
Griffithsia schousboei,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Griffithsia,Griffithsia schousboei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,499,0,0,17,0,0,0,295,0,0,0,418,182,648,38,11,21,118,1254,29,9,378,1270,560,89,43,769,10,102,0,7,8,17,37,0,452,0,34,27,97,30,25,0,5,21,24,0,0,0,0,22,0,0,32,0,0,307,373,256,313,707,0,76,0,2043,991,0,0,0,76,188,193,666,0,0,46,61,0,15,18,2,49,42,45,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,165,545,0,245,0,504,0,0,0,30,0,0,0,0,0,28,7,5,1,10,0,0,0,152,0,0,0,16,13,22,21,0,15,0,0,0,0,0,0,0,0,25,0,58,0,0,144,156,4,3890,21,0,0,0,0,0,0,0,61,47,0,27,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1046,243,104,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,9,15,26,0,0,6,5,0,0,0,0,0,0,29,26,0,24,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,145,264,0,24,0,0,0,0,0,0,0,0,0,99,0,0,119,0,4,0,0,0,0,0,0,0,0,0,72,0,42,0,13,0,0,103,174,177,718,184,83,272,0,151,134,206,909,0,0,0,299,0,0,0,159,0,0,147,0,0,0,0,39,274,0,178,95,308,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,602,0,0,0,36,0,0,0,7,0
Griffithsia subcylindrica,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Griffithsia,Griffithsia subcylindrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,22,52,0,0,0,0,0,0,13,20,10,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,168,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,96,37,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,114,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,428,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,71,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Monosporus indicus,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Monosporus,Monosporus indicus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,966,0,0,102,353,201,0,153,0,35,5,135,0,14,0,0,0,0,0,35,1530,208,34,248,84,0,0,0,938,24,155,1649,5430,1307,939,552,500,379,1998,58,1232,126,14,168,29,56,137,208,736,33,0,6,0,0,743,135,279,118,443,64,388,116,36,0,0,0,250,0,0,0,0,2735,7096,1817,4439,287,920,907,3248,455,277,0,977,1092,62,1482,892,1387,1458,0,183,0,38,22,51,0,0,30,43,15,0,0,13,5,70,36,0,2762,602,6467,8245,730,259,427,0,545,0,582,205,308,0,822,286,0,0,332,275,172,361,40,209,264,100,666,40,1120,132,837,319,67,70,280,485,266,610,941,642,366,435,440,925,120,10,123,400,343,241,3217,771,895,90,455,219,0,148,0,36,18,123,173,153,169,137,89,0,0,0,296,452,0,0,62,69,98,0,0,507,0,608,0,8,450,594,162,125,0,0,0,1409,163,507,443,213,363,86,0,0,0,0,6,67,142,148,887,54,20,36,42,0,43,0,210,0,567,2954,392,24,0,0,0,0,0,0,0,0,338,0,0,3,0,0,0,0,0,0,0,10,48,0,0,0,7,48,48,73,184,46,0,0,2380,0,522,0,0,0,0,0,2,782,0,327,149,0,0,0,1031,304,2185,321,35,65,86,2417,11849,303,0,209,822,0,256,12,1,0,2,0,0,0,18,189,15,34,1047,107,23,0,0,3,13,49,0,8,9,254,891,74,0,449,268,870,539,516,1285,0,1410,231,335,149,34,248,77,0,0,102,0,615,258,0,2,139,0,15,893,80,1383,128,461,31,11282,997,575,274,0
Perikladosporon percurrens,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Perikladosporon,Perikladosporon percurrens,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,35,408,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,236,0,610,125,4,5,0,0,0,7,2081,0,0,6,13,238,581,0,0,0,0,0,0,0,0,0,0,70,63,0,19,0,8,0,0,0,2,0,2,0,0,95,14,16,0,0,0,0,0,0,0,0,57,134,0,40,0,12,0,34,0,36,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,64,0,0,0,0,0,0,51,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,0,0,0,36,0,1702,0,0,0,0,0,769,13,1214,2762,37415,140,5334,195,203,3204,1,0,16,0,0,7,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,14,0,8,2,0,0,0,0,0,0,0,0,0,0
Spyridia filamentosa,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Spyridia,Spyridia filamentosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,166,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27,0,0,0,0,0,3,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33,0,0,6,4,10,382,203,19,51,0,45,0,0,0,2,0,9795,0,0,86,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,4723,441,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spyridia sp.,genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Spyridia sp.,Spyridia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramiaceae,family,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramiaceae,Ceramiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,184,84,0,0,162,0,9,0,423,0,299,0,0,0,0,0,0,0,0,0,0,3,48,0,0,35,0,13,99,680,319,24,221,73,383,0,185,5,242,0,0,5,10,0,29,44,0,0,0,0,0,0,0,3,20,0,0,82,4,56,191,0,71,201,0,203,116,0,35,105,12,67,9,17,1,0,22,16,0,0,0,0,129,51,0,21,13,0,0,22,0,0,0,2,5,0,0,0,0,0,0,0,0,0,37,29,63,524,321,21,92,0,153,0,100,17,12,0,2,13,0,0,35,53,51,121,21,57,83,36,83,198,53,305,6,21,98,79,69,21,47,60,381,196,594,153,98,512,0,0,75,0,110,0,0,36,0,6,125,0,0,0,0,0,0,0,0,0,0,26,57,0,0,0,101,129,0,0,0,0,0,0,0,110,0,90,0,0,478,0,8,0,1,0,0,220,14,48,184,142,37,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,55,0,5,0,0,77,0,0,0,0,26,0,93,0,0,33,233,0,0,5,0,0,80,58,0,0,0,28,23,2,43,0,0,18,1,136,11,12930,0,278,0,0,148,323,977,284,0,456,55,9,172,650,441,27,145,3,26,111,1,137,5,15,99,118,182,78,72,193,108,0,406,8,52,3,91,21,0,0,16,0,112,80,0,0,349,0,37,0,0,0,63,0,25,207,0,0,0,0
